customer_number,parameter
NVAG03,Trading Account
NVAG04,Trading Account
NVAGC1,Consignment
NVAGC2,Consignment
NVAGOC,Closed
NVAM01,Closed
NVAN01,Trading Account
NVAN02,Closed
NVAN03,Closed
NVANC1,Consignment
NVANOC,Consignment
NVAR02,Closed
NVAR09,Trading Account
NVARC1,Closed
NVARC2,Consignment
NVARCO,Consignment
NVAROC,Closed
NVAS01,Closed
NVAS04,Closed
NVET01,Closed
NVET02,Closed
NVET03,Closed
NVOR01,Closed
NWIB01,Closed
OAVNC1,Closed
OAVNOC,Closed
OBCP01,Closed
OBHO02,Closed
OBHO03,Trading Account
OBHOC1,Closed
OBHOOC,Consignment
OBHOPC,Consignment
OBLC01,Closed
OBLCC1,Consignment
OBLCOC,Closed
OBOYOC,Consignment
OBRW01,Closed
OCLI01,Closed
OCOK01,Closed
OCOK02,Closed
OCOK03,Closed
OEBN01,Closed
OFLRC1,Consignment
OFLROC,Consignment
OGLBOC,Consignment
OGLV01,Closed
OGODC1,Consignment
OGODC2,Consignment
OGODOC,Consignment
OIFC01,Trading Account
OIFCC1,Consignment
OIFCOC,Consignment
OIRNOC,Closed
OKHT01,Trading Account
OKHTC1,Consignment
OKHTOC,Consignment
OKNB01,Closed
OKNB02,Closed
OKNX01,Closed
OKRG01,Closed
OMBM01,Closed
OMOLC1,Consignment
OMOLC1,Promotional Stand
OPRFC1,Closed
OPRFC3,Consignment
OPRFOC,Closed
OPRM01,Promotion
OPRMOC,Consignment
OPRMOC,Promotion
OPRO01,Closed
OPRO03,Closed
OROS01,Trading Account
OROS05,Trading Account
OROS06,Trading Account
OROSC1,Consignment
OROSC2,Consignment
OROSC3,Consignment
OROSCC,Consignment
OROSCO,Consignment
OROSOC,Closed
OSAA01,Closed
OSAA03,Closed
OSLPC1,Promotional Stand
OSPLOC,Consignment
OSPRC2,Consignment
OSPROC,Consignment
OWODOC,Consignment
OWODOC,Promotional Stand
PCOT01,Closed
PDILOC,Consignment
PHYE02,Trading Account
PHYEC1,Consignment
PJEP01,Closed
PKAI01,Closed
PMSE01,Trading Account
PMSEC1,Consignment
PMSEOC,Closed
PPAPC1,Consignment
PPAPC2,Closed
PPAPCO,Consignment
PPAPOC,Closed
PROE01,Trading Account
PROE0C,Closed
PROEC1,Consignment
PROEC2,Consignment
PROEC2,Promotional Stand
PROECO,Consignment
PROEOC,Closed
PSUCAM,Consignment
PSUCAM,Promotional Stand
PSUE02,Trading Account
PSUEC1,Consignment
PSUEC2,Closed
PSUEC3,Consignment
PSUEOC,Consignment
RABA01,Closed
RABAC1,Consignment
RABACO,Consignment
RABAO1,Trading Account
RABAOC,Closed
RAFO01,Closed
RARA01,Closed
RBEE01,Closed
RBEM02,Trading Account
RBEMC1,Consignment
RBEMOC,Closed
RBUGC1,Consignment
RBUNC1,Consignment
RBUNOC,Closed
RBUR01,Closed
RCAEC1,Consignment
RCHI01,Closed
RCON03,Closed
RCON04,Closed
RDIEOC,Consignment
RDOFC0,Consignment
RDOFOC,Consignment
RHOSC1,Consignment
RHOSE1,Trading Account
RKAEC1,Consignment
RKAEC1,Promotional Stand
RKAEC2,Consignment
RKELC1,Consignment
RKELC1,Promotional Stand
RKELOC,Consignment
RKIK01,Closed
RKOBOC,Consignment
RMAAC1,Consignment
RMAAC2,Promotional Stand
RMAAOC,Consignment
RMABOC,Consignment
RMAE01,Trading Account
RMAEC0,Consignment
RMAIOC,Consignment
RMAKCO,Promotion
RMEE01,Closed
RNOT04,Trading Account
RNOTOC,Consignment
RPAMC2,Consignment
RPAMC2,Promotional Stand
RPAMOC,Closed
RSADOC,Promotion
RSAIOC,Consignment
RSTAC1,Consignment
RSTAOC,Closed
RSTO01,Closed
RSTU01,Closed
RSTUOC,Consignment
RSUT01,Closed
RTOG09,Trading Account
RTOG12,Trading Account
RTOGC2,Closed
RTOGC3,Closed
RTOGC4,Closed
RTOGC5,Promotion
RTOGC6,Consignment
RTOGC7,Consignment
RTOGC7,Promotion
RTOGC8,Promotion
RTOGCO,Consignment
RTOGOC,Consignment
RTOGOP,Promotional Stand
RVAI02,Closed
RVES01,Closed
SABO01,Trading Account
SABOC1,Consignment
SAS001,Closed
SASOC1,Consignment
SASOC1,Promotional Stand
SASOC2,Consignment
SBETC1,Consignment
SBETOC,Closed
SBIH01,Closed
SBIM01,Trading Account
SBIMC1,Consignment
SCAA01,Closed
SCAOOC,Consignment
SCOM01,Closed
SCOMOC,Consignment
SDEM01,Trading Account
SDEMC1,Consignment
SDEMOC,Consignment
SEAT04,Trading Account
SEATC1,Consignment
SEATOC,Consignment
SESEOC,Consignment
SHAS02,Closed
SINI01,Trading Account
SINIC1,Consignment
SINIOC,Consignment
SKAO01,Trading Account
SKAOC1,Consignment
SKAOOC,Consignment
SLEHCO,Promotional Stand
SMAT02,Trading Account
SMATC1,Consignment
SMATC1,Promotional Stand
SMATC2,Consignment
SMTHOC,Consignment
SNUI02,Trading Account
SNUIC1,Consignment
SNUOC,Closed
SPIT01,Trading Account
SPITCO,Consignment
SROEC1,Consignment
SROOOC,Consignment
SUYO01,Closed
SVII04,Closed
SVII06,Closed
SVII17,Trading Account
SVIIC1,Consignment
SVIIC2,Consignment
SVIIC2,Promotional Stand
SVIIOC,Consignment
SVIIOC,Promotional Stand
SVIISQ,Consignment
SVIIU1,Consignment
SVIOC,Consignment
SVIT01,Closed
SWET03,Trading Account
SWET05,Closed
SWETC1,Consignment
SWETC2,Consignment
SWETC2,Promotional Stand
SWETC3,Consignment
SWETOC,Closed
SWIE01,Closed
SWIEC1,Consignment
SWIEOC,Closed
SYSE02,Closed
SYSE03,Closed
SYSEOC,Consignment
TACIC2,Consignment
TACIC2,Promotional Stand
TBEHCO,Consignment
TBOJC1,Consignment
TBOJOC,Closed
TEXR01,Closed
TEXR02,Closed
THC01,Trading Account
THC02,Trading Account
THCC1,Consignment
TINOOC,Consignment
TINRC1,Consignment
TINRC1,Promotional Stand
TINRC2,Consignment
TKAZC1,Consignment
TKOZ01,Closed
TLAI01,Closed
TMAH02,Closed
TMALOC,Consignment
TMALOC,Promotional Stand
TMNU01,Closed
TMOAOC,Consignment
TMUH01,Trading Account
TMUHC1,Consignment
TNAHC1,Closed
TNAHC1,Consignment
TNAHC2,Consignment
TNAHC2,Promotional Stand
TNAHOC,Consignment
TNAHOC,Promotional Stand
TNETOC,Consignment
TOPBOT,Consignment
TOPBOT,Promotional Stand
TOPC10,Consignment
TOPC11,Closed
TOPC11,Consignment
TOPC13,Consignment
TOPC13,Promotional Stand
TOPC14,Closed
TOPCC1,Consignment
TOPCC2,Closed
TOPCC3,Consignment
TOPCC4,Consignment
TOPFCS,Consignment
TOPI05,Closed
TOPI26,Closed
TOPI28,Closed
TOPI45,Closed
TOPI47,Closed
TOPI49,Trading Account
TOPIC1,Consignment
TOPIC1,Promotional Stand
TOPIC2,Consignment
TOPIC3,Consignment
TOPIC4,Closed
TOPIC4,Consignment
TOPIC5,Consignment
TOPIC7,Consignment
TOPIC8,Consignment
TOPIC9,Consignment
TOPICC,Consignment
TOPICO,Consignment
TOPIKC,Consignment
TOPIOC,Consignment
TOPIVN,Consignment
TOPO01,Trading Account
TOPOC1,Consignment
TOPOOC,Consignment
TPAEC1,Consignment
TPAEC1,Promotional Stand
TSUTOC,Consignment
TWAEC1,Consignment
TWAEOC,Closed
TWEZ01,Closed
TWIBC1,Consignment
TWIBC1,Promotional Stand
TWIBC2,Consignment
UBAE01,Trading Account
UBAEOC,Consignment
UBLF01,Closed
UBLSOC,Consignment
UBOG01,Closed
UBOG02,Closed
UBOMC1,Consignment
UDRMOC,Consignment
UFAL01,Closed
UFALOC,Closed
UFALOC,Consignment
UFOR01,Closed
UFORC1,Consignment
UFOROC,Consignment
UKRG01,Closed
UKRS01,Closed
ULADC1,Consignment
ULADC1,Promotional Stand
UMNKC1,Consignment
UMNKC1,Promotional Stand
UMOT01,Trading Account
UMOTC1,Consignment
UNET01,Trading Account
UNET02,Closed
UNETC1,Consignment
UNETC1,Promotional Stand
UNETOC,Consignment
USOTC1,Consignment
UTREOC,Consignment
UYOOC,Consignment
UYORC1,Consignment
UYORC1,Promotional Stand
VADE02,Closed
VDAE01,Consignment
VDAEOC,Consignment
VDAI01,Closed
VDEI01,Closed
VDEROC,Consignment
VDICO,Consignment
VDII01,Trading Account
VGOEC1,Consignment
VGOEC2,Consignment
VGOEOC,Closed
VINE01,Closed
VLEI02,Trading Account
VLEI05,Closed
VLEIC1,Consignment
VLEIOC,Consignment
VLEYC1,Consignment
VLEYOC,Consignment
VRIO01,Trading Account
VRIO02,Closed
VRIOC1,Consignment
VRIOC2,Consignment
VRIOC2,Promotional Stand
VRIOOC,Closed
WCOA01,Trading Account
WCOAC1,Closed
WCOAOC,Closed
WHOE01,Trading Account
WHOEC1,Consignment
WHOEOC,Consignment
WNECON,Consignment
WNEMA,Consignment
XFOD01,Closed
XFOY01,Trading Account
XFOYC1,Consignment
XFOYC2,Consignment
XFOYC3,Consignment
XFOYC3,Promotional Stand
XFOYC4,Consignment
XFOYC4,Promotional Stand
YBOS01,Closed
YBRA01,Closed
YBUCO,Consignment
YBUCO,Promotion
YBUS01,Closed
YBUS02,Closed
YBUS03,Closed
YBUS04,Closed
YBUS05,Closed
YBUS06,Closed
YBUS07,Closed
YBUS08,Closed
YBUS09,Closed
YHAA01,Closed
YMAFC0,Consignment
YMEEC1,Consignment
YMEEO6,Trading Account
YMEEOC,Consignment
YMEESA,Consignment
YREN03,Trading Account
YRENC1,Consignment
YROA14,Promotion
YSTLC1,Consignment
YSTLC2,Promotion
YSTLOC,Consignment
ZDEI01,Trading Account
ZDEIOC,Consignment
ZDOE02,Closed
ZHAY01,Closed
ZNAEOC,Consignment
